workload,mode,n_evaluations,elapsed_ms,norm_time,quality_pct,best_dram_traffic
ResNet-50,Exhaustive Search,753120,2390.8919996756595,100.0,100.0,100887.6836734694
ResNet-50,Heuristic Search,2460,7.594599999720231,0.3176471375850724,98.43206480293065,102494.73469387754
ResNet-50,Gradient Descent,15,287.9967000008037,12.045575460534076,100.0,100887.6836734694
BERT-Large,Exhaustive Search,180720,528.9479999919422,100.0,100.0,8450.0
BERT-Large,Heuristic Search,894,2.7348000003257766,0.5170262483963334,96.99265381083563,8712.0
BERT-Large,Gradient Descent,15,278.57550000044284,52.6659520415403,100.0,8450.0
3D-UNet,Exhaustive Search,658800,2069.2440000129864,100.0,100.0,131378.5
3D-UNet,Heuristic Search,2184,7.10840000101598,0.3435264280563997,99.3049781553765,132298.0
3D-UNet,Gradient Descent,18,285.0259999977425,13.774402631876844,100.0,131378.5
RNN-T,Exhaustive Search,155520,491.6039998352062,100.0,100.0,4228.0
RNN-T,Heuristic Search,750,2.297899998666253,0.46742906881078,96.7948717948718,4368.0
RNN-T,Gradient Descent,14,275.5217000012635,56.04545530419259,100.0,4228.0
DLRM,Exhaustive Search,129600,386.4960001374129,100.0,100.0,2306.0
DLRM,Heuristic Search,600,1.9267999996372964,0.4985303855543786,89.797507788162,2568.0
DLRM,Gradient Descent,15,260.84959999934654,67.49089250771168,100.0,2306.0
VGG-16,Exhaustive Search,365040,1028.688000224065,100.0,100.0,26300.081632653062
VGG-16,Heuristic Search,1950,5.493599997862475,0.5340394752019931,94.30498313975272,27888.326530612245
VGG-16,Gradient Descent,17,289.7004000005836,28.16212495309386,100.0,26300.081632653062
GPT-2/Transformer,Exhaustive Search,259200,709.595999942394,100.0,100.0,6338.666666666667
GPT-2/Transformer,Heuristic Search,900,2.5870000026770867,0.36457364512865115,96.94127243066885,6538.666666666667
GPT-2/Transformer,Gradient Descent,15,263.41099999990547,37.121263369761046,100.0,6338.666666666667
